list-none-m,1,1000,1,3000,3976315,1325
list-none-m,2,1000,1,6000,25958684,4326
list-none-m,4,1000,1,12000,106559882,8879
list-none-m,8,1000,1,24000,533266147,22219
list-none-m,12,1000,1,36000,1301580983,36155
list-none-m,16,1000,1,48000,2373949271,49457
list-none-m,24,1000,1,72000,5709913407,79304
list-none-s,1,1000,1,3000,3713413,1237
list-none-s,2,1000,1,6000,39074273,6512
list-none-s,4,1000,1,12000,268649121,22387
list-none-s,8,1000,1,24000,1210335224,50430
list-none-s,12,1000,1,36000,3228936944,89692
list-none-s,16,1000,1,48000,7635594524,159074
list-none-s,24,1000,1,72000,52757092998,732737
list-none-m,1,1000,1,3000,4175845,1391,30
list-none-m,2,1000,1,6000,26726133,4454,4451
list-none-m,4,1000,1,12000,118970159,9914,26687
list-none-m,8,1000,1,24000,587432964,24476,163410
list-none-m,16,1000,1,48000,2647375679,55153,739831
list-none-m,24,1000,1,72000,5442976458,75596,1452878
list-id-none,1,1,4,3,91732,30577,0
list-id-none,4,1,4,12,153626,12802,0
list-id-none,8,1,4,24,299352,12473,0
list-id-none,12,1,4,36,341063,9473,0
list-id-none,16,1,4,48,483591,10074,0
list-id-none,1,2,4,6,107724,17954,0
list-id-none,4,2,4,24,144562,6023,0
list-id-none,8,2,4,48,283647,5909,0
list-id-none,12,2,4,72,363777,5052,0
list-id-none,16,2,4,96,488442,5087,0
list-id-none,1,4,4,12,153257,12771,0
list-id-none,4,4,4,48,177636,3700,0
list-id-none,8,4,4,96,247993,2583,0
list-id-none,1,8,4,24,112138,4672,0
list-id-none,1,16,4,48,121290,2526,0
list-id-s,1,10,4,30,131384,4379,56
list-id-s,4,10,4,120,194349,1619,1081
list-id-s,8,10,4,240,318203,1325,1023
list-id-s,12,10,4,360,393724,1093,606
list-id-s,16,10,4,480,570196,1187,2848
list-id-s,1,20,4,60,139460,2324,38
list-id-s,4,20,4,240,514154,2142,3410
list-id-s,8,20,4,480,671205,1398,4675
list-id-s,12,20,4,720,869601,1207,5311
list-id-s,16,20,4,960,1240098,1291,8557
list-id-s,1,40,4,120,170520,1421,34
list-id-s,4,40,4,480,545696,1136,1092
list-id-s,8,40,4,960,1239345,1290,5394
list-id-s,12,40,4,1440,1894442,1315,8360
list-id-s,16,40,4,1920,3073681,1600,16289
list-id-s,1,80,4,240,288939,1203,30
list-id-s,4,80,4,960,1164339,1212,2010
list-id-s,8,80,4,1920,2785797,1450,5758
list-id-s,12,80,4,2880,4582982,1591,13126
list-id-s,16,80,4,3840,13586638,3538,47038
list-id-m,1,10,4,30,139555,4651,97
list-id-m,4,10,4,120,207587,1729,1271
list-id-m,8,10,4,240,413312,1722,3091
list-id-m,12,10,4,360,614544,1707,5381
list-id-m,16,10,4,480,973282,2027,13559
list-id-m,1,20,4,60,162145,2702,65
list-id-m,4,20,4,240,495511,2064,2892
list-id-m,8,20,4,480,677995,1412,4446
list-id-m,12,20,4,720,1218286,1692,10527
list-id-m,16,20,4,960,1563140,1628,13226
list-id-m,1,40,4,120,233527,1946,52
list-id-m,4,40,4,480,680647,1418,1946
list-id-m,8,40,4,960,1467106,1528,6554
list-id-m,12,40,4,1440,2535424,1760,13425
list-id-m,16,40,4,1920,3363234,1751,18553
list-id-m,1,80,4,240,299212,1246,41
list-id-m,4,80,4,960,1414295,1473,2537
list-id-m,8,80,4,1920,3125498,1627,7635
list-id-m,12,80,4,2880,5510775,1913,15751
list-id-m,16,80,4,3840,8017520,2087,25001
list-none-m,1,1000,1,3000,4297082,1432,32
list-none-m,2,1000,1,6000,26691431,4448,4328
list-none-m,4,1000,1,12000,120435706,10036,29170
list-none-m,8,1000,1,24000,552379864,23015,155573
list-none-m,12,1000,1,36000,1258195998,34949,336101
list-none-m,1,1000,4,3000,1555927,518,32
list-none-m,2,1000,4,6000,9870445,1645,908
list-none-m,4,1000,4,12000,21859929,1821,3422
list-none-m,8,1000,4,24000,62210019,2592,13490
list-none-m,12,1000,4,36000,148966283,4137,37159
list-none-m,1,1000,8,3000,984579,328,32
list-none-m,2,1000,8,6000,6151426,1025,438
list-none-m,4,1000,8,12000,11104637,925,1226
list-none-m,8,1000,8,24000,29596179,1233,4849
list-none-m,12,1000,8,36000,58358549,1621,11989
list-none-m,1,1000,16,3000,758652,252,33
list-none-m,2,1000,16,6000,4278899,713,259
list-none-m,4,1000,16,12000,7533808,627,671
list-none-m,8,1000,16,24000,15198306,633,1887
list-none-m,12,1000,16,36000,26735525,742,3989
list-none-s,1,1000,1,3000,4301901,1433,29
list-none-s,2,1000,1,6000,14994282,2499,1784
list-none-s,4,1000,1,12000,98337947,8194,22035
list-none-s,8,1000,1,24000,525318704,21888,150281
list-none-s,12,1000,1,36000,942757920,26187,223695
list-none-s,1,1000,4,3000,1439388,479,29
list-none-s,2,1000,4,6000,9491389,1581,529
list-none-s,4,1000,4,12000,18063021,1505,2429
list-none-s,8,1000,4,24000,52645265,2193,10932
list-none-s,12,1000,4,36000,115901653,3219,28009
list-none-s,1,1000,8,3000,1108684,369,30
list-none-s,2,1000,8,6000,5531409,921,246
list-none-s,4,1000,8,12000,9809504,817,869
list-none-s,8,1000,8,24000,22588593,941,3339
list-none-s,12,1000,8,36000,43399730,1205,8324
list-none-s,1,1000,16,3000,768020,256,29
list-none-s,2,1000,16,6000,3798964,633,182
list-none-s,4,1000,16,12000,6143609,511,384
list-none-s,8,1000,16,24000,12005885,500,1148
list-none-s,12,1000,16,36000,20782588,577,2683
